pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode,
H5,2019,2019,2019,0,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,13649268582,None,None,4,
H5,2019,2019,2019,0,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,19635580248,None,None,4,
H5,2019,2019,2019,0,0,1,Import,32,Argentina,ARG,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,49125029975,None,None,4,
H5,2019,2019,2019,0,0,2,Export,32,Argentina,ARG,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,65114127659,None,None,4,
H5,2019,2019,2019,0,0,4,Re-Import,32,Argentina,ARG,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,42221460,None,None,4,
H5,2019,2019,2019,0,0,1,Import,36,Australia,AUS,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,221481291585,None,None,4,
H5,2019,2019,2019,0,0,2,Export,36,Australia,AUS,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,266377225615,None,None,4,
H5,2019,2019,2019,0,0,4,Re-Import,36,Australia,AUS,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,757873257,None,None,4,
H5,2019,2019,2019,0,0,1,Import,40,Austria,AUT,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,176596131348,None,None,4,
H5,2019,2019,2019,0,0,2,Export,40,Austria,AUT,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,171532054962,None,None,4,
H5,2019,2019,2019,0,0,1,Import,51,Armenia,ARM,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,5071644433,None,None,4,
H5,2019,2019,2019,0,0,2,Export,51,Armenia,ARM,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,2620069449,None,None,4,
H5,2019,2019,2019,0,0,3,Re-Export,51,Armenia,ARM,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,214146058,None,None,0,
H5,2019,2019,2019,0,0,4,Re-Import,51,Armenia,ARM,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,585905,None,None,0,
H5,2019,2019,2019,0,0,1,Import,52,Barbados,BRB,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,1580842477,None,None,4,
H5,2019,2019,2019,0,0,2,Export,52,Barbados,BRB,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,444085369,None,None,4,
H5,2019,2019,2019,0,0,1,Import,56,Belgium,BEL,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,426489084673,None,None,4,
H5,2019,2019,2019,0,0,2,Export,56,Belgium,BEL,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,445214432962,None,None,4,
H5,2019,2019,2019,0,0,1,Import,60,Bermuda,BMU,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,1117764475,None,None,4,
H5,2019,2019,2019,0,0,2,Export,60,Bermuda,BMU,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,26832552,None,None,4,
H5,2019,2019,2019,0,0,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,11159040331,None,None,4,
H5,2019,2019,2019,0,0,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,6578243902,None,None,4,
H5,2019,2019,2019,0,0,1,Import,72,Botswana,BWA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,6558523124,None,None,4,
H5,2019,2019,2019,0,0,2,Export,72,Botswana,BWA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,5238079155,None,None,4,
H5,2019,2019,2019,0,0,3,Re-Export,72,Botswana,BWA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,2612031,None,None,0,
H5,2019,2019,2019,0,0,4,Re-Import,72,Botswana,BWA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,10034,None,None,4,
H5,2019,2019,2019,0,0,1,Import,76,Brazil,BRA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,177347934749,None,None,0,
H5,2019,2019,2019,0,0,2,Export,76,Brazil,BRA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,225383482468,None,None,4,
H5,2019,2019,2019,0,0,4,Re-Import,76,Brazil,BRA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,7018822667,None,None,0,
H5,2019,2019,2019,0,0,1,Import,84,Belize,BLZ,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,985904343,None,None,4,
H5,2019,2019,2019,0,0,2,Export,84,Belize,BLZ,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,244908836,None,None,0,
H5,2019,2019,2019,0,0,3,Re-Export,84,Belize,BLZ,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,38917523,None,None,0,
H5,2019,2019,2019,0,0,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,5102674118,None,None,4,
H5,2019,2019,2019,0,0,2,Export,96,Brunei Darussalam,BRN,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,7039083085,None,None,4,
H5,2019,2019,2019,0,0,1,Import,100,Bulgaria,BGR,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,37765114126,None,None,4,
H5,2019,2019,2019,0,0,2,Export,100,Bulgaria,BGR,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,33454448049,None,None,4,
H5,2019,2019,2019,0,0,1,Import,104,Myanmar,MMR,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,18577866972,None,None,4,
H5,2019,2019,2019,0,0,2,Export,104,Myanmar,MMR,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,17997120537,None,None,4,
H5,2019,2019,2019,0,0,1,Import,108,Burundi,BDI,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,887018854,None,None,4,
H5,2019,2019,2019,0,0,2,Export,108,Burundi,BDI,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,180717200,None,None,4,
H5,2019,2019,2019,0,0,1,Import,112,Belarus,BLR,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,39476679200,None,None,4,
H5,2019,2019,2019,0,0,2,Export,112,Belarus,BLR,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,32955122400,None,None,4,
H5,2019,2019,2019,0,0,1,Import,116,Cambodia,KHM,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,20278818285,None,None,4,
H5,2019,2019,2019,0,0,2,Export,116,Cambodia,KHM,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,14824722293,None,None,4,
H5,2019,2019,2019,0,0,1,Import,124,Canada,CAN,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,453359841430,None,None,0,
H5,2019,2019,2019,0,0,2,Export,124,Canada,CAN,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,446079889867,None,None,4,
H5,2019,2019,2019,0,0,3,Re-Export,124,Canada,CAN,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,36253803820,None,None,0,
H5,2019,2019,2019,0,0,4,Re-Import,124,Canada,CAN,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,51509515,None,None,0,
H5,2019,2019,2019,0,0,1,Import,132,Cabo Verde,CPV,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,789705845,None,None,4,
H5,2019,2019,2019,0,0,2,Export,132,Cabo Verde,CPV,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,61879312,None,None,0,
H5,2019,2019,2019,0,0,1,Import,152,Chile,CHL,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,69591297855,None,None,4,
H5,2019,2019,2019,0,0,2,Export,152,Chile,CHL,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,69681396828,None,None,4,
H5,2019,2019,2019,0,0,4,Re-Import,152,Chile,CHL,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,16431042,None,None,4,
H5,2019,2019,2019,0,0,1,Import,156,China,CHN,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,2068950254597,None,None,4,
H5,2019,2019,2019,0,0,2,Export,156,China,CHN,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,2498569865637,None,None,4,
H5,2019,2019,2019,0,0,1,Import,170,Colombia,COL,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,52695881703,None,None,4,
H5,2019,2019,2019,0,0,2,Export,170,Colombia,COL,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,39489359461,None,None,4,
H5,2019,2019,2019,0,0,4,Re-Import,170,Colombia,COL,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,432666478,None,None,4,
H5,2019,2019,2019,0,0,1,Import,174,Comoros,COM,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,201191155,None,None,4,
H5,2019,2019,2019,0,0,2,Export,174,Comoros,COM,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,49024220,None,None,4,
H5,2019,2019,2019,0,0,1,Import,178,Congo,COG,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,2242427608,None,None,4,
H5,2019,2019,2019,0,0,2,Export,178,Congo,COG,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,5575942320,None,None,4,
H5,2019,2019,2019,0,0,1,Import,188,Costa Rica,CRI,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,16106274382,None,None,4,
H5,2019,2019,2019,0,0,2,Export,188,Costa Rica,CRI,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,11451993076,None,None,4,
H5,2019,2019,2019,0,0,1,Import,191,Croatia,HRV,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,28004414329,None,None,4,
H5,2019,2019,2019,0,0,2,Export,191,Croatia,HRV,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,17063049815,None,None,4,
H5,2019,2019,2019,0,0,1,Import,196,Cyprus,CYP,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,9179162817,None,None,4,
H5,2019,2019,2019,0,0,2,Export,196,Cyprus,CYP,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,3520899557,None,None,4,
H5,2019,2019,2019,0,0,3,Re-Export,196,Cyprus,CYP,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,2064433833,None,None,0,
H5,2019,2019,2019,0,0,1,Import,203,Czechia,CZE,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,179273065047,None,None,4,
H5,2019,2019,2019,0,0,2,Export,203,Czechia,CZE,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,199469710335,None,None,4,
H5,2019,2019,2019,0,0,1,Import,204,Benin,BEN,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,2904571635,None,None,4,
H5,2019,2019,2019,0,0,2,Export,204,Benin,BEN,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,851648437,None,None,4,
H5,2019,2019,2019,0,0,1,Import,208,Denmark,DNK,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,97209693724,None,None,4,
H5,2019,2019,2019,0,0,2,Export,208,Denmark,DNK,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,109991554571,None,None,4,
H5,2019,2019,2019,0,0,1,Import,218,Ecuador,ECU,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,20277091794,None,None,4,
H5,2019,2019,2019,0,0,2,Export,218,Ecuador,ECU,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,22329378889,None,None,4,
H5,2019,2019,2019,0,0,1,Import,222,El Salvador,SLV,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,12017559344,None,None,4,
H5,2019,2019,2019,0,0,2,Export,222,El Salvador,SLV,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,5943316474,None,None,4,
H5,2019,2019,2019,0,0,4,Re-Import,222,El Salvador,SLV,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,12410363,None,None,0,
H5,2019,2019,2019,0,0,1,Import,233,Estonia,EST,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,18664163270,None,None,4,
H5,2019,2019,2019,0,0,2,Export,233,Estonia,EST,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,16818678297,None,None,0,
H5,2019,2019,2019,0,0,3,Re-Export,233,Estonia,EST,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,16778917157,None,None,0,
H5,2019,2019,2019,0,0,4,Re-Import,233,Estonia,EST,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,16096732,None,None,4,
H5,2019,2019,2019,0,0,1,Import,242,Fiji,FJI,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,2734304428,None,None,4,
H5,2019,2019,2019,0,0,2,Export,242,Fiji,FJI,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,1032914403,None,None,4,
H5,2019,2019,2019,0,0,1,Import,246,Finland,FIN,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,73719857019,None,None,4,
H5,2019,2019,2019,0,0,2,Export,246,Finland,FIN,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,72839176013,None,None,4,
H5,2019,2019,2019,0,0,1,Import,251,France,FRA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,643208112669,None,None,4,
H5,2019,2019,2019,0,0,2,Export,251,France,FRA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,556364114008,None,None,4,
H5,2019,2019,2019,0,0,4,Re-Import,251,France,FRA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,5956731375,None,None,4,
H5,2019,2019,2019,0,0,1,Import,276,Germany,DEU,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,1239897203131,None,None,4,
H5,2019,2019,2019,0,0,2,Export,276,Germany,DEU,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,1493266563850,None,None,4,
H5,2019,2019,2019,0,0,1,Import,288,Ghana,GHA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,10439795453,None,None,4,
H5,2019,2019,2019,0,0,2,Export,288,Ghana,GHA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,16768275189,None,None,4,
H5,2019,2019,2019,0,0,4,Re-Import,288,Ghana,GHA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,3649126,None,None,0,
H5,2019,2019,2019,0,0,1,Import,300,Greece,GRC,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,62198045283,None,None,4,
H5,2019,2019,2019,0,0,2,Export,300,Greece,GRC,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,37885526504,None,None,4,
H5,2019,2019,2019,0,0,1,Import,320,Guatemala,GTM,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,19870650527,None,None,4,
H5,2019,2019,2019,0,0,2,Export,320,Guatemala,GTM,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,11289176124,None,None,4,
H5,2019,2019,2019,0,0,1,Import,328,Guyana,GUY,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,5980312022,None,None,4,
H5,2019,2019,2019,0,0,2,Export,328,Guyana,GUY,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,3842501776,None,None,4,
H5,2019,2019,2019,0,0,1,Import,340,Honduras,HND,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,9156168376,None,None,4,
H5,2019,2019,2019,0,0,2,Export,340,Honduras,HND,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,3091163099,None,None,4,
H5,2019,2019,2019,0,0,1,Import,344,China, Hong Kong SAR,HKG,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,578590151014,None,None,4,
H5,2019,2019,2019,0,0,2,Export,344,China, Hong Kong SAR,HKG,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,535711018905,None,None,4,
H5,2019,2019,2019,0,0,1,Import,348,Hungary,HUN,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,117324011167,None,None,4,
